sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count,page_number,summary_text,summary_char_count,summary_word_count,para_id
"Be sure to use the recommended oil  type and viscosity grade. 3. Replace the Oil Fill Cap: Once you’ve added the correct  amount of oil, replace the oil ﬁll cap securely. Tighten it until  it is fully closed to avoid any leaks. 4. Recheck the Oil Level: Wait for about 3 minutes after adding  oil, then recheck the oil level using the dipstick to ensure it’s  between the MIN and MAX marks. Add more oil if  necessary, but avoid overﬁlling. o  Clean Up Spills: If any oil spills while adding, wipe it  up immediately. Oil can damage engine components",542,99,133,3,"replace the oil fill cap securely. recheck the oil level using the dipstick to ensure it’s between the MIN and MAX marks. if any oil spills while adding, wipe it up immediately. if any oil spills while adding, wipe it up immediately.",233,42,ea6038e0585d423dac1e9d05b28ef4fe95a974b5c574b65733c7d7673266c501
"FragglesX700HCM 2022                                                                                                                                                                       4  and other parts of the vehicle, so it’s important to  clean up any spills quickly. Notice:  Do Not Overﬁll: Avoid adding too much oil, as overﬁlling can  lead to leaks, increased pressure in the engine, and even  potential engine damage. If you’re unsure, it’s always better  to check the oil level multiple times than to risk overﬁlling. Proper Disposal: Used oil is hazardous to the environment,  so make sure to dispose of it properly. Many auto parts  stores or service stations oﬀer oil recycling services. Changing the Engine Oil and Oil Filter  Regular oil and oil ﬁlter changes are critical to ensuring proper  engine lubrication, maintaining performance, and preventing engine  damage. Over time, oil breaks down and becomes less eﬀective at  lubricating the engine, while the oil ﬁlter can become clogged with  debris. Changing the oil and ﬁlter according to the manufacturer's  recommended schedule (usually indicated on the vehicle's  information display or multi-information display*) will help protect  your engine and keep it running smoothly. Procedure for Changing Engine Oil and Oil Filter:  1. Start the Engine and Warm It Up:  Begin by starting the engine and letting it run until it reaches  normal operating temperature.",1423,198,353,4,"oil is hazardous to the environment, so make sure to dispose of it properly. oil breaks down and becomes less effective at lubricating the engine, while the oil filter can become clogged with debris. Changing the oil and oil filter according to the manufacturer's recommended schedule will help protect your engine and keep it running smoothly.",344,56,c646941aeaa7711a77e4732133a899ce0c82b3cd94cd2b9179a52923365234f5
"This helps the oil ﬂow more  freely, making it easier to drain. After a few minutes, turn oﬀ  the engine and allow it to cool for a moment before  proceeding with the oil change. 2. Open the Hood and Remove the Oil Fill Cap:  Open the vehicle's hood and locate the engine oil ﬁll cap. Remove it to allow air into the system, which will help the  oil drain more eﬃciently when you remove the drain plug. 3. Remove the Undercarriage Cover (if applicable):  If your vehicle has an undercarriage cover, remove the bolts  securing it and carefully take the cover oﬀ. This will give you  access to the oil drain bolt and oil ﬁlter. Be sure to keep the  bolts in a safe place for reinstallation. 4. Loosen and Remove the Drain Bolt:  Use a wrench or socket to loosen and remove the oil drain  bolt located at the underside of the engine oil pan.",829,156,202,4,"oil fill cap: open the vehicle's hood and locate the engine oil fill cap. remove it to allow air into the system, which will help the oil drain more efficiently. remove the undercarriage cover and carefully take the cover off.",226,40,793e432a1bb260e5bd4aee90cc41a9fc5b22ed15a99e6df14ba84f4db032b64d
"Place a  large, suitable container underneath the drain plug to catch  the used oil as it drains. Allow the oil to drain completely,  which may take a few minutes. Be cautious, as the oil can be  hot and may spill if not properly contained. 5. Remove the Oil Filter and Dispose of the Remaining Oil:  Using an oil ﬁlter wrench (which may be available for  purchase at a dealership or parts store), carefully loosen and  remove the old oil ﬁlter. Keep in mind that some oil may still  be in the ﬁlter, so it’s best to keep the ﬁlter upside down as  it is removed to avoid spills. Dispose of the ﬁlter and the  remaining oil in an environmentally responsible manner. Be  sure to drain any remaining oil from the oil pan as well. 6. Check the Engine Contact Surface for the Filter Gasket:  Once the oil ﬁlter has been removed, carefully inspect the  engine's contact surface where the ﬁlter attaches.",888,161,219,4,remove the oil filter and remove the oil filter from the oil pan. remove the oil filter and remove the remaining oil in an environmentally responsible manner. check the engine contact surface where the filter attaches the filter. remove the oil filter and remove the remaining oil from the oil pan.,298,51,be8c79acd61baa8d54c661385e364c221ba1c4d884c4d0b9d2a8c40f20303b51
"The old  ﬁlter’s rubber gasket may sometimes stick to this surface. If  the gasket is still in place, gently remove it to avoid  contaminating the new ﬁlter and creating an improper seal.",186,32,45,4,"the old filter’s rubber gasket may stick to this surface. if the gasket is still in place, gently remove it to avoid contaminating the new filter and creating an improper seal. the old filter’s rubber gasket may stick to this surface.",234,41,7a0f2680d8a60aa61aafd3a43f851b2850cd422f6420c0ad85cbfea23613f1cd
"FragglesX700HCM 2022                                                                                                                                                                       5  7. Clean the Contact Surface:  Use a clean cloth or rag to wipe away any dirt, debris, or oil  from the engine block’s contact surface where the oil ﬁlter  sits. Ensuring this surface is clean is essential to ensure a  proper seal with the new ﬁlter and to prevent any oil leaks. 8. Install the New Oil Filter:  Before installing the new oil ﬁlter, apply a thin coating of  fresh engine oil to the rubber seal around the top of the  ﬁlter. This will help create a proper seal and prevent the  ﬁlter from being overtightened. Carefully screw the new oil  ﬁlter onto the engine, making sure it is hand-tight. Avoid  using tools to tighten it excessively, as this could damage the  ﬁlter or cause an improper seal. 9. Replace the Drain Bolt Washer and Tighten the Bolt:  Replace the old washer on the oil drain bolt with a new one.",1009,154,250,5,"clean the contact surface: apply a thin coating of fresh engine oil to the rubber seal around the top of the filter. this will help create a proper seal and prevent any oil leaks. avoid using tools to tighten it excessively, as this could damage the filter.",257,47,e56fac97b4eeab403ddfd112e3c3765ed7c30efabdfaaa36917aa2e82492485f
"This ensures a proper seal and prevents leaks. Reinstall the  drain bolt into the oil pan and tighten it securely using a  torque wrench. The recommended tightening torque is 30  lbf·ft (40 N·m, 4.0 kgf·m). This ensures that the bolt is tight  but not overly so, which could risk damaging the oil pan. 10. Add the Recommended Engine Oil:  Using a funnel, slowly pour the recommended amount of  fresh engine oil into the engine via the oil ﬁll cap. The oil  change capacity, including the ﬁlter, is typically 4.2 US quarts  (4.0 L). Always check the owner’s manual for the exact  capacity. Be sure to use the correct type and viscosity of oil  as recommended by the manufacturer. 11.",673,119,164,5,"the recommended tightening torque is 30 lbfft (40 Nm, 4.0 kgfm) this ensures that the bolt is tight but not overly so, which could risk damaging the oil pan.",157,29,e79147d5ce5aacfc9da859cd2f5edf61ade0673aba81832b6217974c0609323b
"Secure the Oil Fill Cap and Start the Engine:  Once the new oil is added, replace the oil ﬁll cap securely  and tighten it. Start the engine and let it run for a few  minutes to circulate the new oil throughout the engine. Keep an eye on the area around the drain bolt and the oil  ﬁlter for any signs of leaks. 12. Check for Leaks:  After running the engine for a few minutes, turn it oﬀ and  check the oil drain bolt and oil ﬁlter for any signs of oil leaks. If you notice any leaks, stop the engine immediately and  recheck your work to ensure the drain bolt and oil ﬁlter are  properly tightened. 13. Check the Oil Level:  Wait for about three minutes after turning oﬀ the engine to  allow the oil to settle. Use the dipstick to check the oil level. If the oil level is below the recommended range, add oil as  necessary.",816,158,199,5,"seal the oil fill cap and start the engine. replace the oil fill cap securely and tighten it. keep an eye on the area around the drain bolt and oil filter for any signs of oil leaks. if the oil level is below the recommended range, add oil as necessary.",253,50,37fc5ffd96c04ab66b0ff55de6d2e7d281036e87ff0183c56f3c0a9ea1476953
"Be sure not to overﬁll, as this can cause engine  issues. Notice:  Dispose of Used Oil Responsibly: Used engine oil is hazardous to  the environment. Always dispose of used oil and ﬁlters at a  recycling center or auto parts store that oﬀers oil recycling  services. Never pour used oil into the ground or throw it in the  trash. Special Oil Filter Wrench: Replacing the oil ﬁlter often requires a  special tool called an oil ﬁlter wrench. This tool is available at  dealerships, auto parts stores, or online. If you don’t have one,  it’s worth investing in one to make the oil ﬁlter change easier  and more eﬃcient. Follow Manufacturer’s Instructions for the Oil Filter: When  installing the new oil ﬁlter, follow the manufacturer’s speciﬁc  instructions. Some ﬁlters may require an initial tightening",794,132,195,5,"oil filter wrench is available at dealerships, auto parts stores, or online. if you don’t have one, it’s worth investing in one to make the oil filter change easier and more efficient. follow manufacturer’s instructions for the oil filter.",239,39,b02ea667b4bbe55a9d2fd0e8c6f99182a0c9962d33ac269d776ffefbb8c11e59
"FragglesX700HCM 2022                                                                                                                                                                       6  torque, or they may have speciﬁc installation steps. Always  follow these instructions to ensure proper installation. Oil Pressure Light: After reattaching the oil ﬁll cap and starting  the engine, the low oil pressure warning light should go oﬀ  within ﬁve seconds. If it stays on, stop the engine immediately  and check your work to ensure that the oil ﬁlter is properly  installed and the drain bolt is secure. Prevent Spills: If any oil spills during the process, clean it up  immediately to avoid damage to engine components, the  undercarriage, or the surrounding environment. Engine Coolant  Engine coolant (also known as antifreeze) plays a critical role in  regulating the engine’s temperature, preventing overheating, and  protecting the engine from freezing in cold weather. The coolant  system is designed to maintain an optimal operating temperature by  circulating a 50/50 mixture of antifreeze and water throughout the  engine. Important:  •  Do not add pure antifreeze or water directly to the coolant  system, as this can disrupt the delicate balance of the  coolant mixture and aﬀect performance. •  Regularly checking the coolant level helps prevent  overheating, engine damage, or freezing in cold weather. It’s  recommended to check the coolant level each time you  refuel.",1475,202,365,6,"oil pressure light: After reattaching the oil fill cap and starting the engine, the low oil pressure warning light should go off within five seconds. check your work to ensure that the oil filter is properly installed and the drain bolt is secure.",247,43,2dd920393ca87e65eab4c806a8adef5e1ecd8db5271263ca4d0da088fcc27a90
"Checking the Coolant Level  1. Inspect the Coolant Level in the Reserve Tank:  Start by checking the coolant reserve tank, which is usually  located near the front of the engine bay. This tank holds the  overﬂow coolant when the engine is cool and allows the  system to expand when it heats up. Look at the side of the  reserve tank for a MIN and MAX line. The coolant level  should be between these two marks when the engine is  cool. 2. Add Coolant If Necessary:  If the coolant level is below the MIN mark, add the  speciﬁed coolant until it reaches the MAX mark. Always use the recommended 50/50 mixture of  antifreeze and water, or a pre-mixed coolant, to ensure  the engine operates eﬃciently in both hot and cold  temperatures. Be sure to add the coolant slowly to  avoid splashing. 3.",783,141,190,6,"check the coolant reserve tank, which is usually located near the front of the engine bay. this tank holds the overflow coolant when the engine is cool and allows the system to expand when it heats up. add coolant if Necessary: If the coolant level is below the MIN mark, add the specified coolant until it reaches the MAX mark.",328,60,f537fb8011d39b440d0bc53086dcd73bb6164bc18f198fdc743fa4c89e891f65
"Check for Leaks:  After ﬁlling the reserve tank, it’s a good idea to check the  entire cooling system for signs of leaks. Look around the  radiator, hoses, and connections for any signs of coolant  dripping or pooling. Leaks in the cooling system can cause  the engine to overheat, leading to serious engine damage. If  you ﬁnd any leaks, it’s important to get them repaired as  soon as possible.",393,68,98,6,"check for leaks after filling the reserve tank. check the radiator, hoses, and connections for signs of leaks. if you find any leaks, it’s important to get them repaired as soon as possible.",190,33,ec66ba8c1b1691a5b79a84c60429104ff696edb04e96c6bea779e2ab4d4b5dc0
"FragglesX700HCM 2022                                                                                                                                                                       7  Notice:  Extreme Cold Weather: If you are driving in extremely cold  temperatures below −31°F (−35°C), you will need a more  concentrated antifreeze mixture to prevent the coolant from  freezing. Consult your FragglesX700HCM dealer for advice on  the appropriate coolant mixture for your vehicle’s engine. Alternative Coolant: If FragglesX700HCM antifreeze/coolant is  unavailable, you can temporarily use another high-quality, non- silicate coolant from a reputable brand. o  Important: Ensure that the coolant you use is  compatible with aluminum engines, as many  modern engines use aluminum components, which  can be corroded by incompatible coolant. o  Caution: Prolonged use of coolant other than  FragglesX700HCM may lead to corrosion and  potential cooling system failure. It’s important to  ﬂush and reﬁll the system with FragglesX700HCM  antifreeze/coolant as soon as possible. Additives: Never add rust inhibitors or other coolant additives  unless speciﬁcally recommended by the manufacturer. These  additives may not be compatible with your engine or the  coolant system, and they could cause corrosion or other issues  over time. Checking the Radiator Coolant Level  If your vehicle’s engine has a traditional radiator, you’ll need to   check both the reserve tank and the radiator itself. Follow these  steps:  1.",1509,194,374,7,"if you are driving in extremely cold temperatures below 31°F (35°C), you will need a more concentrated antifreeze mixture to prevent the coolant from freezing. if the coolant is unavailable, you can temporarily use another high-quality, non- silicate coolant from a reputable brand.",282,43,d598602f3949b054ae9f6d5ce205bf5d1b8c3fc3deda575759153275deafb42c
"Ensure the Engine and Radiator Are Cool:  Before you remove the radiator cap, ensure that the engine  has cooled down. Opening a hot radiator can result in hot  coolant spraying out due to built-up pressure, causing burns  or injury. Wait for the engine to cool for at least 30 minutes  before proceeding. Be cautious even if the engine feels cool  to the touch. 2. Relieve Pressure in the Cooling System:  Slowly turn the radiator cap counterclockwise to relieve any  built-up pressure in the coolant system. Do not press down  on the cap while turning it, as this can cause the cap to  malfunction or be damaged. 3. Remove the Radiator Cap:  Once the pressure is released, press down on the cap and  turn it counterclockwise to remove it completely. Be sure to  place the cap in a safe spot.",784,139,192,7,"Ensure the Engine and Radiator are Cool: Before you remove the radiator cap, ensure that the engine has cooled down. wait for the engine to cool for at least 30 minutes before proceeding. slowly turn the radiator cap counterclockwise to relieve any built-up pressure.",267,44,e123c4c1193e245c38b5dfaafb502889d688ed05d38efb155ccd018b68323685
"4. Check the Coolant Level in the Radiator:  Look inside the radiator ﬁller neck to check the coolant  level. The coolant should be at the base of the ﬁller neck  when the system is cold. If the coolant level is low, carefully  add the recommended coolant mixture into the radiator. 5. Add Coolant if Necessary:  Slowly pour the appropriate coolant into the radiator until it  reaches the base of the ﬁller neck. Always use the correct  50/50 antifreeze-water mix or pre-mixed coolant.",479,82,117,7,coolant should be at the base of the filler neck when the system is cold. add coolant if Necessary: Slowly pour the appropriate coolant into the radiator until itreaches the base of the filler neck. always use the correct antifreeze-water mix or pre-mixed coolant.,264,44,0b549959106147700161d186a3894c7d687afddd8235c303dc1b5d38001c8d57
"FragglesX700HCM 2022                                                                                                                                                                       8  6. Replace the Radiator Cap:  Once the coolant has been added, securely replace the  radiator cap. Turn it clockwise until it is tightly sealed to  ensure that no coolant will leak out during operation. 7. Add Coolant to the Reserve Tank:  After securing the radiator cap, move to the reserve tank. Add coolant until it reaches the MAX mark on the tank. Ensure the cap on the reserve tank is securely tightened  after you’re done. Notice:  Pour Coolant Slowly and Carefully: Always pour coolant slowly  and carefully to avoid spills, which can damage engine  components or cause burns if hot coolant splashes out. Clean Up Spills Immediately: If any coolant spills onto the engine  bay or other components, clean it up promptly. Coolant is toxic  and can cause damage to engine components, hoses, or paint if  not wiped away.",1006,142,248,8,"replace the radiator cap: Once the coolant has been added, securely replace the radiator cap. turn it clockwise until it is tightly sealed to ensure no coolant will leak out during operation. Ensure the cap on the reserve tank is securely tightened after you’re done.",267,45,b1ac0abeae73f9af233def1a53bde6e42e84a658ac99c9284cad6d1b65eefebd
"Use a cloth or rag to absorb any spilled coolant. Transmission Fluid  Transmission ﬂuid plays a crucial role in lubricating the transmission  components, cooling the transmission, and facilitating smooth gear  shifting. Ensuring that your transmission ﬂuid is at the correct level  helps maintain the performance and longevity of the transmission  system. Low ﬂuid levels or the use of incorrect ﬂuid can lead to  transmission problems, including slipping gears, overheating, or  complete transmission failure. Important:  Always check the transmission ﬂuid when the engine is at  normal operating temperature, as the ﬂuid level can vary  depending on the temperature. Procedure for Checking Transmission Fluid:  1. Park on Level Ground and Start the Engine:  To get an accurate reading, park the vehicle on a level  surface. Start the engine and let it idle to bring the  transmission ﬂuid to its normal operating temperature. It’s  important that the engine reaches the proper temperature  for accurate ﬂuid level measurement. 2.",1022,155,252,8,"low fluid levels can lead to transmission problems, including slipping gears, overheating, or complete transmission failure. check transmission fluid when engine is at normal operating temperature. it’s important that engine reaches proper temperature for accurate fluid level measurement.",289,38,affc11d52ae9b81f34869175b22bbd3e9c7b04aa005b7b6e8a8c5fa07299d417
"Wait for the Radiator Fan to Turn On, Then Turn Oﬀ the  Engine:  Allow the engine to run until the radiator fan turns on,  which indicates the engine has reached its normal operating  temperature. Once the radiator fan has engaged, turn oﬀ  the engine. Wait for approximately 60 seconds, but no longer  than 90 seconds, to allow the ﬂuid to settle in the  transmission before proceeding with the check. 3. Remove the Transmission Dipstick (Yellow Loop):  Locate the transmission dipstick, which is usually marked  with a yellow loop or handle. Pull the dipstick out of the  transmission and wipe it clean with a lint-free cloth or paper  towel to remove any residue or old ﬂuid. 4. Reinsert the Dipstick Fully:  After cleaning the dipstick, reinsert it fully back into its tube. Make sure it is seated properly to get an accurate reading  when you pull it out again.",858,148,211,8,"wait for the radiator fan to turn on, then turn off the engine. allow the engine to run until the radiator fan turns on. Wait for approximately 60 seconds, but no longer than 90 seconds, to allow the fluid to settle in the transmission before proceeding with the check.",269,49,6d327b772441c6891dbba89dec01607d9fc5ae9640b4a3462402728a09bb68b9
"FragglesX700HCM 2022                                                                                                                                                                       9  5. Remove the Dipstick and Check the Fluid Level:  Remove the dipstick once more and check the ﬂuid level. The ﬂuid should fall between the upper and lower marks  within the HOT range on the dipstick when the engine is  warm. If the ﬂuid level is within this range, no further action  is needed. If the ﬂuid level is below the lower mark, you will  need to add transmission ﬂuid to bring it up to the proper  level. If this is the case, proceed to step 6. 6. Add Fluid If Necessary:  If the ﬂuid level is low, use the appropriate  FragglesX700HCM ATF DW-1 (Automatic Transmission Fluid)  to top it oﬀ. Add ﬂuid carefully: Pour the ﬂuid into the  dipstick tube slowly, allowing it to settle and checking the  level regularly to avoid overﬁlling. Important: If the ﬂuid level is consistently low, or if the  ﬂuid level falls below the recommended level after  adding ﬂuid, it may indicate a leak in the transmission  system. In such cases, have your vehicle inspected by a  dealer immediately.",1172,178,289,9,"the fluid should fall between the upper and lower marks within the HOT range on the dipstick when the engine is warm. if the fluid level is within this range, no further action is needed. add fluid if Necessary: use the appropriate FragglesX700HCM ATF DW-1 (Automatic Transmission Fluid) to top it off.",302,52,da22b642e7c269626c3ff26e62a4e17003e31fa2fa058981b7f1d2a66a33a5a2
