sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count,page_number,summary_text,summary_char_count,summary_word_count,para_id
"Every passenger, including the driver, must be  buckled up, even if the vehicle has airbags. Airbags  are supplementary restraints and work best when  used with seatbelts. •  Avoid sitting in cargo areas or other unrestrained  positions; all passengers should be seated in  designated seats with seatbelts securely fastened. 4. Minimize Rollover Risks:  •  Unbuckled passengers are at a significantly higher  risk of injury or death in a rollover accident. Wearing  seatbelts greatly reduces the risk of being ejected or  severely hurt. 5. Proper Usage for Each Seatbelt:  •  Each seatbelt is designed for a single user—do not  share a seatbelt with another person. •  The shoulder belt must always be worn across the  shoulder and chest to prevent severe injury during  an impact. Important Safety Tips and Additional Precautions  Heat Warning:  •  Metal seatbelt parts and the seats themselves can  become extremely hot when exposed to direct  sunlight.",946,148,233,5,airbags are supplementary restraints and work best when used with seatbelts. all passengers should be seated in designated seats with seatbelts securely fastened.,162,23,e7f7b9476bbfffd27143d8bb18ed3c1736da5a5ec0b7b39e676977d501c6b109
"Always check before allowing children to  sit, as they may get burned. Inspection After a Collision:  •  Following any crash, inspect the seatbelts for  damage or malfunction. Have them professionally  assessed to ensure they meet safety standards  before further use. Overview of Your Vehicle's Seatbelt System  Every seating position in your vehicle features a  combination lap and shoulder belt for enhanced safety. The  front seats come equipped with adjustable height settings  and pre-tensioners, which activate during specific types of  crashes to provide additional restraint and protection. How to Properly Fasten and Release Your Seatbelt  1. Gently pull the belt across your body and insert the  latch into the buckle until you hear a firm click. 2. To release, press the red button on the buckle and  allow the belt to retract smoothly. Understanding Seatbelt Locking Modes  Sensitive Locking Mode:  •  This mode allows the belt to extend and retract  freely during normal driving.",984,153,244,5,"check before allowing children to sit, as they may get burned. inspect the seatbelts for damage or malfunction.",111,18,8b91be86e221f2ce0eef233a82892825ed351cb988b232a7a327f88a8f41a951
"It automatically locks  during abrupt stops, rapid acceleration, or sharp  turns. Automatic Locking Mode:  •  This mode is primarily used for securing child safety  seats. Pull the belt completely out to engage the  locking mode, and then let it retract, making sure it  locks with a clicking sound. To disengage, simply  unbuckle the belt and allow it to fully retract. Proper Seatbelt Use During Pregnancy  •  Pregnant passengers should wear the lap belt low  across the hips, well below the belly, to avoid  pressure on the abdomen. •  The shoulder belt should be positioned across the  chest and to the side of the belly, ensuring a snug  yet comfortable fit for optimal safety. Adjusting the Seatbelt Height for Maximum Protection. FragglesX500FMS 2027          5",761,123,187,5,"automatic locking mode is primarily used for securing child safety seats. pull the belt completely out to engage the locking mode. then let it retract, making sure it locks with a clicking sound.",195,33,e34848fa10e4767a55902b5ff8a58eafe0bab82a8451a076b9dbe1bf7bd65cd6
"Use the height adjuster to position the shoulder belt  so it crosses the center of your shoulder, away from  your neck, to reduce the risk of neck injuries. Seatbelt Reminder and Alert System  The vehicle is equipped with a seatbelt reminder system  that provides visual and audible alerts if any seatbelt is  unfastened. Additional reminders are activated for the  driver and front passenger when the vehicle speed exceeds  6 mph. Refer to the vehicle display for seatbelt status  updates. Seatbelt Care and Maintenance Guidelines  •  Regularly inspect seatbelts for wear and tear, such  as fraying, cuts, or visible damage. Replace any  compromised seatbelts immediately to maintain  safety. •  After any accident, have all seatbelt components,  including retractors and anchors, inspected by a  certified professional to ensure they are in good  working condition. Seatbelt Extensions and Compatibility  •  Seatbelt extensions should only be used when  absolutely necessary and must be specifically  designed for your vehicle model. Using non- approved extensions can interfere with the correct  positioning and effectiveness of the seatbelt. Enhancing Vehicle Occupant Safety  By following these detailed seatbelt safety practices and  using seatbelts correctly, you can greatly enhance the  safety and protection of everyone in your vehicle.",1337,198,331,6,seatbelt reminder system provides visual and audible alerts if any seatbelt is unfastened. additional reminders are activated for the driver and front passenger when the vehicle speed exceeds 6 mph.,198,30,01d46f7e73ba642d6fe9666a4c63770b4a6769a387dfdb3f83c9b08647980237
"Remember, a properly fastened seatbelt is your most  effective defense in any driving situation, significantly  reducing the risk of serious injury or death in an accident. Personal Safety    The Personal Safety System is a state-of-the-art safety  feature engineered to provide enhanced protection for  passengers during frontal collisions. It is designed to  minimize injury risks and optimize the performance of  restraint systems in the event of an accident. How Does the Personal Safety System Work? This advanced system enhances the safety of front-seat  occupants by mitigating potential airbag-related injuries  while offering maximum protection in frontal impacts. The  system operates by continuously monitoring crash  dynamics and occupant conditions. It uses real-time data  to determine the appropriate response, which may involve  deploying airbags in stages and engaging seatbelt  pretensioners based on the severity of the impact. •  Adaptive Response: Depending on the intensity of  the collision and the specifics of the occupants'  conditions (such as seatbelt usage and seating  position), the system may activate one or both  stages of the dual-stage airbags. Additionally, it  triggers the seatbelt pretensioners to tighten the  belts, providing better restraint. Key Components of the Personal Safety System.",1322,189,329,6,Personal Safety The Personal Safety System is a state-of-the-art safety feature engineered to provide enhanced protection for passengers during frontal collisions. it is designed to minimize injury risks and optimize the performance of restraint systems in the event of an accident.,282,41,8b2b6728e567854fd16258604f1d28d541353abd388f9db2fb98b94f0dbfe2f9
"Stage Front Airbags:  o The driver and front passenger are protected  by airbags that can deploy at two different  levels. The airbag deployment intensity is  adjusted based on the crash severity and  occupant information. 2. Advanced Seatbelt System:  o The front outer seatbelts include several  enhanced safety features:  ▪  Seatbelt Usage Sensors: These  detect whether the seatbelt is being  worn, allowing the system to tailor the  airbag deployment accordingly. ▪  Energy-Management Retractors:  Designed to reduce the force exerted  by the seatbelt on the occupant, these  retractors help prevent injuries during  high-impact crashes. ▪  Seatbelt Pretensioners: In the event  of a collision, the pretensioners  instantly tighten the seatbelts,  reducing slack and ensuring the  occupant is securely restrained. 3. Front Passenger Sensing System:  o This system uses sensors to determine the  presence and weight of the front passenger. It  helps control the deployment of the  passenger airbag, reducing the risk of injury  to smaller passengers or children. 4.",1060,156,260,7,the airbag deployment intensity is adjusted based on the crash severity and occupant information. o The front outer seatbelts include several enhanced safety features.,167,24,2443b4e0a10127a5725b2e9c3e6aed53297745fd70216c849bef334e612f76ab
"Passenger Airbag Status Indicators:  o Located on the dashboard, these indicators  inform the driver and passengers whether the  front passenger airbag is active or  deactivated. This status is based on the  information provided by the front passenger  sensing system. 5. Crash Severity Sensors:  o The system includes front-mounted sensors  that assess the severity of the impact. These  sensors provide crucial data to the restraints  control module, allowing it to make split- second decisions about deploying airbags  and engaging pretensioners. 6. Restraints Control Module (RCM):  o The RCM is the brain of the Personal Safety  System. It continuously analyzes input from  various sensors, including those measuring  crash severity, seatbelt usage, and occupant  positioning. Based on this data, the RCM  decides the optimal timing and intensity for  airbag deployment and seatbelt engagement. The Benefits of the Personal Safety System  •  Enhanced Protection: By adapting its response  based on real-time crash data, the system ensures  that passengers receive the right level of protection  tailored to the specific collision circumstances.",1140,166,281,7,o The system includes front-mounted sensors that assess the severity of the impact. these sensors provide crucial data to the restraints control module. o The RCM is the brain of the Personal Safety System.,206,34,95969785740e913f1b897c1bcf2e181858343811ec342cae8d0c28a78962a904
•  Reduced Airbag-Related Injuries: The dual-stage  airbag deployment and seatbelt pretensioners work. FragglesX500FMS 2027          7  The Personal Safety System integrates several  sophisticated features to ensure optimal protection for all  passengers:  1. Dual,262,32,65,7,FragglesX500FMS 2027 7 The Personal Safety System integrates several sophisticated features to ensure optimal protection for all passengers.,140,18,45ca518a9dd28fcda331dab778410afa433d1d7f994e123dd660c6560a025f2f
"Optimized Restraint Performance: The integration  of advanced sensors and a sophisticated control  module allows the system to provide a coordinated  response, enhancing the overall safety of the  vehicle's restraint systems. This comprehensive approach to passenger safety is a  testament to the advanced engineering behind the  Personal Safety System, designed to protect you and your  loved ones during even the most severe frontal collisions. Air Bags  How the Front Airbags Work  Front airbags for the driver and front passenger are  designed to deploy during significant frontal or near-frontal  crashes. This airbag system includes:  •  Driver and passenger airbag modules  •  A front passenger sensing system  •  Crash sensors and a monitoring system with an  indicator light  Airbags supplement seatbelts to help protect against  certain upper body injuries. They deploy rapidly with a loud  sound and a release of harmless powder, such as talcum or  baking soda residue, which may cause mild irritation to the  skin and eyes. Contact with a deploying airbag can lead to  abrasions, swelling, and temporary hearing loss. To  minimize injury risk, always wear seatbelts correctly and sit  as far from the airbag module as possible. No routine  maintenance is needed. How the Side Airbags Work  Warnings:  •  Avoid placing items or equipment near the airbag  cover or seat sides to prevent injury from deploying  airbags. •  Avoid using seat covers that may interfere with  airbag function.",1488,229,369,8,the Personal Safety System is designed to protect you and your loved ones during significant frontal or near-frontal crashes. airbags are designed to deploy during significant frontal or near-frontal crashes.,208,30,0cdfe12ebdd46076000401c0520f07611d2cbf4368054166ac1e139bb640e6e1
"•  Refrain from leaning on doors, as side airbags  deploy from the seatback. In certain sideways crashes or rollovers, airbags in the front  and rear seat backrests will inflate to protect occupants. These airbags are designed to deploy between the door  panel and the occupant during side-impact crashes. For safety, children 12 and under should always be properly  restrained in the rear seats. The rear side airbags will not  interfere with children in properly installed child or booster  seats. The airbag system includes:  •  A label or side panel indicating side airbags are  installed in the vehicle. •  Side airbags in the driver and front passenger seat  backrests, as well as in the outermost rear seat  backrests. •  Crash sensors and a readiness indicator (see the  section on Crash Sensors and Airbag Indicator). Knee Airbags:  The driver’s knee airbag is located under the instrument  panel. It may deploy in certain crashes, depending on crash  severity and occupant conditions.",985,158,243,8,airbags in front and rear seat backrests will inflate to protect occupants. rear side airbags will not interfere with children in properly installed child or booster seats. rear side airbags will not interfere with children in properly installed child or booster seats.,269,42,2087f0d2004f92ee19adee6f73feea9e04651e1c62b8bfb28f6a8b730f76660e
"In some cases, the knee. FragglesX500FMS 2027          8  in harmony to minimize the risks associated with  airbag inflation, particularly for unbelted or smaller  occupants.",173,24,43,8,FragglesX500FMS 2027 8 in harmony to minimize the risks associated with airbag inflation.,89,13,0cd29df451f02f243cf806011d754f956ad555a7e87067333b3fc2016c79463b
"Airbags deploy quickly and forcefully, with the  highest risk of injury near the airbag module and  trim. •  All occupants should always wear seatbelts, even  when airbags are present. Failure to wear a seatbelt  increases the risk of injury or death. •  Children 12 and under should be secured in the rear  seats whenever possible. If necessary, place the  largest child in the front seat and move the seat as  far back as possible if using a forward-facing child  restraint. •  Never place your arms on or through the airbag  cover or steering wheel, as this can lead to injury. Pedestrian Alert    Given the near-silent operation of hybrid and electric  vehicles at low speeds, the vehicle's Pedestrian Alert  System generates a gentle, yet noticeable sound to  increase pedestrian awareness and safety. This system  activates automatically whenever the vehicle is in motion  and not in park (P). While the sound is primarily designed  for those outside the vehicle, a faint version of it may be  heard within the cabin, ensuring minimal distraction while  effectively enhancing pedestrian safety. This feature is  crucial for preventing accidents, especially in urban  environments and areas with heavy foot traffic.",1211,193,299,9,"airbags deploy quickly and forcefully, with the highest risk of injury near the airbag module and trim. failure to wear a seatbelt increases the risk of injury or death. children 12 and under should be secured in the rear seats whenever possible.",246,42,ef19bb7dfed50649753f6cff4a44747f00d7ee051f2f92de92ef5023e4e980f5
"Doors and Locks  Autounlock: A Convenient Safety Feature  How Autounlock Works: The Autounlock feature is  designed to automatically unlock the vehicle’s doors for  enhanced convenience and safety when certain conditions  are met:  •  Speed Trigger: Activates once the vehicle reaches a  speed greater than 15 mph (25 km/h). •  Complete Stop: The system unlocks the doors once  the vehicle comes to a full stop. •  Driver’s Door Opened: The unlock function is  triggered when the driver opens their door. •  Time Limitation: Note that Autounlock remains  active for only 10 minutes after the ignition is  switched off. After this period, the feature resets,  and doors will need to be manually unlocked. Autolock: Enhanced Security While Driving  What is Autolock? The Autolock system automatically  secures all doors as you drive, offering added peace of  mind by preventing accidental opening and unauthorized  access while in motion. Activation Requirements:  •  Closed Doors: The system will only engage if all  doors are properly closed. •  Engine Running: The vehicle must be running for the  Autolock feature to activate. •  Speed Threshold: Autolock is triggered once the  vehicle surpasses 15 mph (25 km/h).",1207,188,299,9,autounlock is triggered once the vehicle reaches a speed greater than 15 mph (25 km/h) the system unlocks the doors once the vehicle comes to a full stop. time limit: Autounlock remains active for only 10 minutes after the ignition is switched off.,248,43,193b61d466c893e3094b3ce1f8c653cd19d9aed46031c719e973f42def0c2b60
Mislock: Preventing Incomplete Locking. FragglesX500FMS 2027          9  airbag may deploy while the front airbag does not. Proper  seating and restraint are essential to reduce the risk of  injury. Airbag Precautions:,215,30,51,9,FragglesX500FMS 2027 9 airbag may deploy while the front airbag does not.,73,12,0ec48e36dde3e64c8e5b231cca232aab88f6eb4f2eaa52c6ec794eaefb93ca2c
"No Flashing Indicators: The turn signal indicators  will not flash if any door, the liftgate, or the hood is  left ajar, alerting you to the incomplete locking. Enabling/Disabling Mislock:  •  To customize this feature, navigate to: Vehicle  Settings > Locks > Mislock On/Off. This allows you  to easily toggle the Mislock warning according to  your preferences. Audible Warnings: Enhanced Safety Alerts  Door Ajar Alert:  •  An audible alert sounds if a front door is not fully  closed while the vehicle is in motion. This feature is  crucial for preventing accidental door openings,  ensuring that passengers are safe and secure. Warning Lamps: Visual Reminders for Added Safety  Door Ajar Warning Light:  •  The Door Ajar Warning Light illuminates on the  dashboard when the vehicle is started and remains  on if any door, including the rear liftgate, is open. This visual indicator helps the driver quickly identify  open doors before driving off, reducing the risk of  injury or damage. Keyless Entry    Keyless Entry System  •  Overview: Allows locking/unlocking without  removing the key from your pocket or bag. •  Limitations:  o The key must be within 3 ft (1 m) of the door  handle or liftgate. o The system may not work if:  ▪  The key is stationary for a minute.",1266,208,312,10,"the turn signal indicators will not flash if any door, the liftgate, or the hood is left ajar. this allows you to easily toggle the mislock warning according to your preferences.",178,31,136fb0b6af4f40fdf1939d09e697c206dec74e886e5dbb1582ef55c5bcbe529a
"▪  The vehicle battery or key battery is  depleted. ▪  There is interference from nearby  electronics or metal objects (e.g.,  phones, keys). •  Settings:  o Enable/Disable Keyless Entry via Vehicle  Settings > Locks. o Reprogram two-stage unlocking (unlock only  driver’s door first) by holding the lock and  unlock buttons on the remote for 4 seconds. •  Keyless Detection Alert:  o Alerts if no valid key is detected when exiting  the vehicle while it is still running. Using Keyless Entry  •  Unlocking the Door:  o With the key or authorized phone nearby,  touch the door sensor to unlock. •  Opening the Liftgate:  o Press the liftgate release button to unlock  and open.. FragglesX500FMS 2027          10  Understanding Mislock: The Mislock feature provides an  alert if the vehicle is not securely locked, helping to ensure  all doors, including the liftgate and hood, are properly  closed before you walk away. Mislock Limitations:",933,148,230,10,"the vehicle battery or key battery is depleted. there is interference from nearby electronics or metal objects (e.g., phones, keys)",131,20,1e85a3c40d35f41df3c71e44300ca64f7facd8197faec36f388f9f7b0fea0ed3
"Locking the Door:  o Touch the lock icon on the door trim; the  vehicle briefly authenticates the device  before locking. Troubleshooting  •  System Not Responding:  o Check key limitations. If issues persist, use  the manual key or remote control. •  Unable to Lock Vehicle:  o If a rear door or liftgate is open, the system  checks for keys inside. The vehicle locks only  if no key is detected inside. Keyless Entry Keypad  •  Overview: Use the keypad on the window trim for  locking/unlocking without a key. •  Limitations: May not function if the vehicle battery  is depleted. •  Location: The keypad is illuminated and located  near the driver’s window. Master Access Code  •  What is It?: A factory-set, five-digit code that always  works with the keypad.",753,126,185,11,keyless entry keypad • Overview: Use the keypad on the window trim for locking/unlocking without a key. keypad is illuminated and located near the driver’s window.,163,26,6f0f797b23bd5193e457082dc772df3076f0a3614d2cadfbd9cea2698712ca07
"•  Display in Instrument Cluster:  o Requires two programmed keys inside the  vehicle. o Follow the backup slot procedure with both  keys to display the code. Liftgate    Keyless Entry System: Effortless Access Without the  Hassle  Overview:  The Keyless Entry System allows you to conveniently lock  and unlock your vehicle without the need to physically take  out your key fob from your pocket, bag, or purse. Simply  having the key fob within range enables touch-based  access, providing a seamless experience every time you  approach your car. System Limitations and Potential Interferences  To ensure optimal performance, consider the following  limitations of the Keyless Entry System:  •  Proximity Requirement: The key must be within 3  feet (1 meter) of the door handle or liftgate for the  system to work effectively. •  Possible Causes for Inoperability:  o The key has remained stationary for more  than a minute, putting it in sleep mode to  conserve battery. o The vehicle's battery or the key fob battery is  low or completely depleted. o There may be interference from nearby  electronic devices or metal objects such as  smartphones, key rings, or even certain  building materials that block the signal. Customization Options and Settings  The Keyless Entry System can be tailored to your  preferences for added convenience:. FragglesX500FMS 2027          11",1366,211,338,11,the key fob must be within 3 feet (1 meter) of the door handle or liftgate. the key must be within 3 feet (1 meter) of the door handle or liftgate.,147,31,c247390f986ad7b3706490ff4554ce62b460c834d585907a56c33b15d926079b
"Enabling/Disabling Keyless Entry: Adjust the  feature via Vehicle Settings > Locks on the  touchscreen display. •  Reprogramming Two-Stage Unlocking:  o To enhance security, you can change the  settings so that only the driver's door unlocks  first. To activate this, press and hold the lock  and unlock buttons on your key fob  simultaneously for 4 seconds until the lights  flash, indicating the change. Keyless Detection Alerts: Enhanced Safety Notification  •  No Key Detected Alert: If the vehicle is running and  no valid key is detected when you exit, an audible  alert will sound, notifying you to prevent accidental  lockout or leaving the car running unattended. Using the Keyless Entry System: Simple and Intuitive  Unlocking the Door:  •  With the key fob or an authorized smartphone  nearby, simply touch the sensor on the door  handle. The system authenticates the device and  unlocks the door. Opening the Liftgate:  •  To unlock and open the liftgate, press the liftgate  release button. The system verifies the key's  presence before allowing access. Locking the Door:  •  Tap the lock icon on the door trim. The vehicle will  briefly verify the key fob or phone's proximity before  securing the locks, providing a quick visual or  audible confirmation.",1261,200,311,12,"key fob or authorized smartphone nearby, simply touch the sensor on the door handle. the system authenticates the device and unlocks the door.",142,23,1cde93e192c6803ab20383e7b7a9001e80c3970427be157c8dd50208db138cd9
"Troubleshooting Common Keyless Entry Issues  If the system does not respond or function as expected,  follow these tips:  System Not Responding:  •  Check Key Limitations: Ensure the key fob is within  the required range and that there are no sources of  interference. •  If problems persist, use the manual key blade  located inside the key fob or the remote control to  unlock the vehicle. Unable to Lock the Vehicle:  •  If a rear door or liftgate is open, the system checks  for the presence of keys inside. The vehicle will only  lock if no key fob is detected inside, preventing  accidental lock-ins. Keyless Entry Keypad: Backup Access When Needed  Keypad Overview: The Keyless Entry Keypad allows you  to lock and unlock the vehicle without using a key or  remote control. It is a useful backup feature for scenarios  where the key fob might be unavailable or depleted. •  Limitations: The keypad may not function if the  vehicle's battery is low or completely drained. •  Location: The illuminated keypad is positioned near  the driver's window trim, making it easy to locate  even in low-light conditions. Master Access Code: Always-Available Security Backup  What is the Master Access Code? •  This is a factory-set, five-digit code that is  permanently programmed into the vehicle's system.",1293,211,320,12,key fob may not function if the vehicle's battery is low or completely drained. keypad may not function if the vehicle's battery is low or completely drained.,158,27,1abc483b871a75025cba447b4203d7cdd91ab7fa791d8e7115dc6c494d28bffb
"It can always be used with the keypad to unlock the  doors, regardless of custom codes set by the user.. FragglesX500FMS 2027          12",137,23,34,12,"it can always be used with the keypad to unlock the doors, regardless of custom codes set by the user.",102,20,692d590224947d11438dae0f95f6f43715491c9dc62b718e6586886f5ed19aa0
